Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,India,IND,..,9.6,9.5,..,..,..,..,11,..,..,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,China,CHN,44.5996068530477,44.6684886355425,44.742987899293,44.8309504332733,44.9255174799177,45.0115343044987,44.9547676272311,45.1150578228708,45.2034021474474,45.2834854096898,45.3488013415244
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,India,IND,24.3029750032092,24.3590784230794,24.4337880971946,24.5196387309549,24.5975525560696,24.6620426287145,24.5059963511351,25.6511321916829,26.6147411953148,27.5277753691858,28.311817927669
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brazil,BRA,42.033097551076,42.3754441598679,42.5375348108722,43.0557704870793,43.2677330746062,43.596293445255,42.5816100206282,43.0075756040014,43.4208190589127,43.3245861425663,43.3488838201591
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,780370287,781077009,780932880,779166682,776868988,775928449,760877838,781187865,770113477,774607590,768163717
"Labor force, total",SL.TLF.TOTL.IN,India,IND,492680645,500640619,508681288,516713963,524292869,531373378,532528354,550352877,569155867,589486854,608500805
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,98900006,100587656,101885554,103476109,104554923,106262669,100001874,104085430,106610573,106356432,107871864
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,China,CHN,79.51,79.785,80.052,80.27,80.573,80.747,80.999,80.912,81.133,80.926,80.966
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,India,IND,70.567,70.94,71.297,71.632,71.963,72.287,71.938,68.835,73.271,73.598,73.856
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brazil,BRA,78.273,78.472,78.539,78.781,78.977,79.023,77.599,76.401,78.094,78.983,79.145
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,China,CHN,74.119,74.365,74.575,74.448,75.034,75.303,75.245,75.486,75.467,75.201,75.249
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,67.416,67.827,68.231,68.61,68.973,69.312,68.529,65.87,70.237,70.522,70.729
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Brazil,BRA,71.462,71.818,71.716,72.069,72.365,72.653,71.537,69.81,71.73,72.76,72.95
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,78.017
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,72.235
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,74.823,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,76.023
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,China,CHN,0.044756848268753,0.0388180195046921,0.0384312560135924,0.0367170529759052,0.0289699078499759,0.0268390839232387,0.0207042908686329,0.0195388659616456,0.0155989585501403,0.0131920135206366,..
